model,max_depth,min_samples_leaf,min_samples_split,criterion,class_weight,random_state,cv_f1_macro_mean,cv_f1_macro_std,n_estimators
RandomForest,4.0,1,,entropy,,42,0.8381069534950623,0.0294784485335261,200.0
RandomForest,4.0,1,,entropy,balanced,42,0.8381069534950623,0.0294784485335261,200.0
RandomForest,,5,,gini,,42,0.8380598935254018,0.0384611211308872,200.0
RandomForest,,5,,gini,balanced,42,0.8380598935254018,0.0384611211308872,200.0
RandomForest,5.0,3,,entropy,,42,0.8380564949306718,0.029465396840626924,200.0
RandomForest,5.0,3,,entropy,balanced,42,0.8380564949306718,0.029465396840626924,200.0
RandomForest,4.0,2,,entropy,,42,0.8380503717202142,0.035380876153664635,300.0
RandomForest,4.0,2,,entropy,balanced,42,0.8380503717202142,0.035380876153664635,300.0
RandomForest,4.0,3,,entropy,,42,0.8380385509653594,0.029694686797254767,100.0
RandomForest,4.0,3,,entropy,balanced,42,0.8380385509653594,0.029694686797254767,100.0
ExtraTrees,,1,,entropy,,42,0.8380291138712691,0.03776333596328424,200.0
ExtraTrees,,1,,entropy,balanced,42,0.8380291138712691,0.03776333596328424,200.0
RandomForest,,5,,entropy,,42,0.8380031074159839,0.03653834861090528,200.0
RandomForest,,5,,entropy,balanced,42,0.8380031074159839,0.03653834861090528,200.0
RandomForest,,1,,gini,,42,0.8377280420667492,0.038185310805403556,300.0
RandomForest,,1,,gini,balanced,42,0.8377280420667492,0.038185310805403556,300.0
RandomForest,4.0,1,,gini,,42,0.8377272781540868,0.029388606403123387,300.0
RandomForest,4.0,1,,gini,balanced,42,0.8377272781540868,0.029388606403123387,300.0
RandomForest,6.0,1,,entropy,,42,0.8376661764029436,0.02157468581576619,100.0
RandomForest,6.0,1,,entropy,balanced,42,0.8376661764029436,0.02157468581576619,100.0
RandomForest,6.0,1,,gini,,42,0.8376042230902163,0.029098690247463897,200.0
RandomForest,6.0,1,,gini,balanced,42,0.8376042230902163,0.029098690247463897,200.0
RandomForest,,1,,entropy,,42,0.8375373975603464,0.030034811989798696,200.0
RandomForest,,1,,entropy,balanced,42,0.8375373975603464,0.030034811989798696,200.0
DecisionTree,5.0,2,6.0,gini,,42,0.8375342056292675,0.05729881701349827,
DecisionTree,5.0,2,6.0,gini,balanced,42,0.8375342056292675,0.05729881701349827,
ExtraTrees,,3,,gini,,42,0.8375270326206958,0.03835120834100953,200.0
ExtraTrees,,3,,gini,balanced,42,0.8375270326206958,0.03835120834100953,200.0
ExtraTrees,,3,,gini,,42,0.8375270326206958,0.03835120834100953,300.0
ExtraTrees,,3,,gini,balanced,42,0.8375270326206958,0.03835120834100953,300.0
DecisionTree,6.0,1,2.0,gini,,42,0.8375078786751115,0.045887506801896585,
DecisionTree,6.0,1,2.0,gini,balanced,42,0.8375078786751115,0.045887506801896585,
RandomForest,,3,,gini,,42,0.8375049580556055,0.03538243050274105,200.0
RandomForest,,3,,gini,balanced,42,0.8375049580556055,0.03538243050274105,200.0
ExtraTrees,,5,,entropy,,42,0.8373371188215639,0.0430392929920996,300.0
ExtraTrees,,5,,entropy,balanced,42,0.8373371188215639,0.0430392929920996,300.0
RandomForest,5.0,3,,gini,,42,0.8372667533090118,0.034515531458976206,300.0
RandomForest,5.0,3,,gini,balanced,42,0.8372667533090118,0.034515531458976206,300.0
RandomForest,6.0,3,,gini,,42,0.8372667533090118,0.034515531458976206,300.0
RandomForest,6.0,3,,gini,balanced,42,0.8372667533090118,0.034515531458976206,300.0
DecisionTree,5.0,2,2.0,gini,,42,0.8372437124799055,0.06268421556155887,
DecisionTree,5.0,2,2.0,gini,balanced,42,0.8372437124799055,0.06268421556155887,
DecisionTree,5.0,2,4.0,gini,,42,0.8372437124799055,0.06268421556155887,
DecisionTree,5.0,2,4.0,gini,balanced,42,0.8372437124799055,0.06268421556155887,
ExtraTrees,,5,,entropy,,42,0.8371956379115822,0.04681245428133925,200.0
ExtraTrees,,5,,entropy,balanced,42,0.8371956379115822,0.04681245428133925,200.0
RandomForest,6.0,1,,entropy,,42,0.8371949265471436,0.026811797345050088,200.0
RandomForest,6.0,1,,entropy,balanced,42,0.8371949265471436,0.026811797345050088,200.0
RandomForest,6.0,1,,entropy,,42,0.8371949265471436,0.026811797345050088,300.0
RandomForest,6.0,1,,entropy,balanced,42,0.8371949265471436,0.026811797345050088,300.0
RandomForest,,3,,gini,,42,0.8371864620832096,0.03451132687279498,300.0
RandomForest,,3,,gini,balanced,42,0.8371864620832096,0.03451132687279498,300.0
RandomForest,6.0,2,,gini,,42,0.8371595035241046,0.03531411974635728,200.0
RandomForest,6.0,2,,gini,balanced,42,0.8371595035241046,0.03531411974635728,200.0
RandomForest,6.0,2,,gini,,42,0.8367451267127937,0.03347604983059808,300.0
RandomForest,6.0,2,,gini,balanced,42,0.8367451267127937,0.03347604983059808,300.0
DecisionTree,5.0,5,2.0,gini,,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,2.0,gini,balanced,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,4.0,gini,,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,4.0,gini,balanced,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,6.0,gini,,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,6.0,gini,balanced,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,10.0,gini,,42,0.8362648032599445,0.03297522548373969,
DecisionTree,5.0,5,10.0,gini,balanced,42,0.8362648032599445,0.03297522548373969,
RandomForest,4.0,5,,entropy,,42,0.835592380098136,0.039542133908828284,300.0
RandomForest,4.0,5,,entropy,balanced,42,0.835592380098136,0.039542133908828284,300.0
DecisionTree,5.0,3,10.0,entropy,,42,0.8355357851983717,0.04311330399753299,
DecisionTree,5.0,3,10.0,entropy,balanced,42,0.8355357851983717,0.04311330399753299,
RandomForest,4.0,1,,gini,,42,0.8354436628441555,0.030387564669352128,100.0
RandomForest,4.0,1,,gini,balanced,42,0.8354436628441555,0.030387564669352128,100.0
RandomForest,4.0,2,,gini,,42,0.8354436628441555,0.030387564669352128,100.0
RandomForest,4.0,2,,gini,balanced,42,0.8354436628441555,0.030387564669352128,100.0
RandomForest,4.0,3,,entropy,,42,0.8353844941936556,0.036376373268269306,300.0
RandomForest,4.0,3,,entropy,balanced,42,0.8353844941936556,0.036376373268269306,300.0
RandomForest,4.0,5,,entropy,,42,0.8353358482626568,0.039647715380042504,200.0
RandomForest,4.0,5,,entropy,balanced,42,0.8353358482626568,0.039647715380042504,200.0
RandomForest,4.0,3,,entropy,,42,0.8353291757172846,0.02927338484372625,200.0
RandomForest,4.0,3,,entropy,balanced,42,0.8353291757172846,0.02927338484372625,200.0
RandomForest,5.0,2,,entropy,,42,0.8351643996237158,0.03728654000974066,300.0
RandomForest,5.0,2,,entropy,balanced,42,0.8351643996237158,0.03728654000974066,300.0
RandomForest,,5,,gini,,42,0.8351259928283431,0.037163957809608794,300.0
RandomForest,,5,,gini,balanced,42,0.8351259928283431,0.037163957809608794,300.0
RandomForest,6.0,3,,entropy,,42,0.835070775497584,0.036411454394400605,300.0
RandomForest,6.0,3,,entropy,balanced,42,0.835070775497584,0.036411454394400605,300.0
RandomForest,,5,,entropy,,42,0.8350166728119024,0.03641859380176317,300.0
RandomForest,,5,,entropy,balanced,42,0.8350166728119024,0.03641859380176317,300.0
DecisionTree,6.0,1,4.0,gini,,42,0.8349660026120628,0.03976194791844885,
DecisionTree,6.0,1,4.0,gini,balanced,42,0.8349660026120628,0.03976194791844885,
ExtraTrees,,5,,gini,,42,0.8348951163795615,0.04598788826862337,300.0
ExtraTrees,,5,,gini,balanced,42,0.8348951163795615,0.04598788826862337,300.0
RandomForest,5.0,2,,entropy,,42,0.8348509881260938,0.03517022050605931,200.0
RandomForest,5.0,2,,entropy,balanced,42,0.8348509881260938,0.03517022050605931,200.0
RandomForest,6.0,5,,entropy,,42,0.8348328917457684,0.03642308026947753,200.0
RandomForest,6.0,5,,entropy,balanced,42,0.8348328917457684,0.03642308026947753,200.0
DecisionTree,4.0,1,2.0,gini,,42,0.8346758180218193,0.02797510990303517,
DecisionTree,4.0,1,2.0,gini,balanced,42,0.8346758180218193,0.02797510990303517,
RandomForest,5.0,2,,entropy,,42,0.8345279245767362,0.03520140943935427,100.0
RandomForest,5.0,2,,entropy,balanced,42,0.8345279245767362,0.03520140943935427,100.0
RandomForest,,1,,entropy,,42,0.8345243776242988,0.036371550232894206,300.0
RandomForest,,1,,entropy,balanced,42,0.8345243776242988,0.036371550232894206,300.0
RandomForest,,3,,entropy,,42,0.8345008294904563,0.03567268484987269,200.0
RandomForest,,3,,entropy,balanced,42,0.8345008294904563,0.03567268484987269,200.0
RandomForest,,1,,gini,,42,0.8344737958617184,0.04552414743477429,200.0
RandomForest,,1,,gini,balanced,42,0.8344737958617184,0.04552414743477429,200.0
RandomForest,5.0,2,,gini,,42,0.8344568008214018,0.030325583319377417,200.0
RandomForest,5.0,2,,gini,balanced,42,0.8344568008214018,0.030325583319377417,200.0
RandomForest,,1,,gini,,42,0.8344532174604332,0.028069567029962574,100.0
RandomForest,,1,,gini,balanced,42,0.8344532174604332,0.028069567029962574,100.0
RandomForest,,3,,entropy,,42,0.8343466451035362,0.035913318127631176,300.0
RandomForest,,3,,entropy,balanced,42,0.8343466451035362,0.035913318127631176,300.0
RandomForest,6.0,2,,entropy,,42,0.8339792028942383,0.034626274502315486,300.0
RandomForest,6.0,2,,entropy,balanced,42,0.8339792028942383,0.034626274502315486,300.0
DecisionTree,4.0,1,2.0,entropy,,42,0.8337297124681026,0.020174914144633477,
DecisionTree,4.0,1,2.0,entropy,balanced,42,0.8337297124681026,0.020174914144633477,
DecisionTree,5.0,1,4.0,gini,,42,0.8336021902922433,0.05378619480877886,
DecisionTree,5.0,1,4.0,gini,balanced,42,0.8336021902922433,0.05378619480877886,
DecisionTree,4.0,2,6.0,gini,,42,0.8333795424312666,0.03603193100862186,
DecisionTree,4.0,2,6.0,gini,balanced,42,0.8333795424312666,0.03603193100862186,
DecisionTree,4.0,2,10.0,gini,,42,0.8333795424312666,0.03603193100862186,
DecisionTree,4.0,2,10.0,gini,balanced,42,0.8333795424312666,0.03603193100862186,
ExtraTrees,,5,,entropy,,42,0.8323998712427503,0.04650958339302554,100.0
ExtraTrees,,5,,entropy,balanced,42,0.8323998712427503,0.04650958339302554,100.0
ExtraTrees,6.0,2,,gini,,42,0.832189114267807,0.047850175405802976,100.0
ExtraTrees,6.0,2,,gini,balanced,42,0.832189114267807,0.047850175405802976,100.0
